lat,lon,operational_risk_score,grid_kind
17.84,-66.99,16.726,idw_visual
17.84,-66.935,16.57,idw_visual
17.84,-66.88,16.289,idw_visual
17.84,-66.825,15.845,idw_visual
17.84,-66.77,15.227,idw_visual
17.84,-66.715,14.508,idw_visual
17.84,-66.66,13.856,idw_visual
17.84,-66.605,13.434,idw_visual
17.84,-66.55,13.26,idw_visual
17.84,-66.495,13.246,idw_visual
17.84,-66.44,13.322,idw_visual
17.84,-66.385,13.451,idw_visual
17.84,-66.33,13.601,idw_visual
17.84,-66.275,13.744,idw_visual
17.84,-66.22,13.864,idw_visual
17.84,-66.165,13.957,idw_visual
17.84,-66.11,14.023,idw_visual
17.84,-66.055,14.069,idw_visual
17.84,-66.0,14.101,idw_visual
17.84,-65.945,14.126,idw_visual
17.84,-65.89,14.146,idw_visual
17.84,-65.835,14.166,idw_visual
17.84,-65.78,14.188,idw_visual
17.84,-65.725,14.211,idw_visual
17.84,-65.67,14.236,idw_visual
17.84,-65.615,14.263,idw_visual
17.84,-65.56,14.291,idw_visual
17.895,-67.155,16.896,idw_visual
17.895,-67.1,16.975,idw_visual
17.895,-67.045,17.007,idw_visual
17.895,-66.99,16.977,idw_visual
17.895,-66.935,16.863,idw_visual
17.895,-66.88,16.612,idw_visual
17.895,-66.825,16.13,idw_visual
17.895,-66.77,15.331,idw_visual
17.895,-66.715,14.271,idw_visual
17.895,-66.66,13.276,idw_visual
17.895,-66.605,12.751,idw_visual
17.895,-66.55,12.688,idw_visual
17.895,-66.495,12.786,idw_visual
17.895,-66.44,12.948,idw_visual
17.895,-66.385,13.167,idw_visual
17.895,-66.33,13.398,idw_visual
17.895,-66.275,13.6,idw_visual
17.895,-66.22,13.756,idw_visual
17.895,-66.165,13.866,idw_visual
17.895,-66.11,13.939,idw_visual
17.895,-66.055,13.985,idw_visual
17.895,-66.0,14.015,idw_visual
17.895,-65.945,14.038,idw_visual
17.895,-65.89,14.058,idw_visual
17.895,-65.835,14.08,idw_visual
17.895,-65.78,14.104,idw_visual
17.895,-65.725,14.132,idw_visual
17.895,-65.67,14.162,idw_visual
17.895,-65.615,14.195,idw_visual
17.895,-65.56,14.229,idw_visual
17.895,-65.505,14.263,idw_visual
17.895,-65.45,14.298,idw_visual
17.895,-65.395,14.333,idw_visual
17.95,-67.265,16.719,idw_visual
17.95,-67.21,16.87,idw_visual
17.95,-67.155,17.022,idw_visual
17.95,-67.1,17.146,idw_visual
17.95,-67.045,17.213,idw_visual
17.95,-66.99,17.222,idw_visual
17.95,-66.935,17.189,idw_visual
17.95,-66.88,17.066,idw_visual
17.95,-66.825,16.676,idw_visual
17.95,-66.77,15.748,idw_visual
17.95,-66.715,14.159,idw_visual
17.95,-66.66,12.457,idw_visual
17.95,-66.605,11.775,idw_visual
17.95,-66.55,12.073,idw_visual
17.95,-66.495,12.302,idw_visual
17.95,-66.44,12.549,idw_visual
17.95,-66.385,12.893,idw_visual
17.95,-66.33,13.226,idw_visual
17.95,-66.275,13.489,idw_visual
17.95,-66.22,13.673,idw_visual
17.95,-66.165,13.79,idw_visual
17.95,-66.11,13.858,idw_visual
17.95,-66.055,13.896,idw_visual
17.95,-66.0,13.92,idw_visual
17.95,-65.945,13.938,idw_visual
17.95,-65.89,13.958,idw_visual
17.95,-65.835,13.982,idw_visual
17.95,-65.78,14.012,idw_visual
17.95,-65.725,14.045,idw_visual
17.95,-65.67,14.083,idw_visual
17.95,-65.615,14.122,idw_visual
17.95,-65.56,14.163,idw_visual
17.95,-65.505,14.204,idw_visual
17.95,-65.45,14.245,idw_visual
17.95,-65.395,14.285,idw_visual
17.95,-65.34,14.325,idw_visual
17.95,-65.285,14.362,idw_visual
17.95,-65.23,14.399,idw_visual
18.005,-67.32,16.565,idw_visual
18.005,-67.265,16.72,idw_visual
18.005,-67.21,16.912,idw_visual
18.005,-67.155,17.119,idw_visual
18.005,-67.1,17.291,idw_visual
18.005,-67.045,17.375,idw_visual
18.005,-66.99,17.4,idw_visual
18.005,-66.935,17.487,idw_visual
18.005,-66.88,17.657,idw_visual
18.005,-66.825,17.662,idw_visual
18.005,-66.77,16.955,idw_visual
18.005,-66.715,14.863,idw_visual
18.005,-66.66,11.899,idw_visual
18.005,-66.605,10.815,idw_visual
18.005,-66.55,11.723,idw_visual
18.005,-66.495,11.791,idw_visual
18.005,-66.44,12.166,idw_visual
18.005,-66.385,12.693,idw_visual
18.005,-66.33,13.13,idw_visual
18.005,-66.275,13.435,idw_visual
18.005,-66.22,13.624,idw_visual
18.005,-66.165,13.727,idw_visual
18.005,-66.11,13.776,idw_visual
18.005,-66.055,13.797,idw_visual
18.005,-66.0,13.808,idw_visual
18.005,-65.945,13.821,idw_visual
18.005,-65.89,13.841,idw_visual
18.005,-65.835,13.87,idw_visual
18.005,-65.78,13.907,idw_visual
18.005,-65.725,13.95,idw_visual
18.005,-65.67,13.996,idw_visual
18.005,-65.615,14.045,idw_visual
18.005,-65.56,14.094,idw_visual
18.005,-65.505,14.143,idw_visual
18.005,-65.45,14.191,idw_visual
18.005,-65.395,14.237,idw_visual
18.005,-65.34,14.282,idw_visual
18.005,-65.285,14.324,idw_visual
18.005,-65.23,14.365,idw_visual
18.005,-65.175,14.403,idw_visual
18.06,-67.32,16.493,idw_visual
18.06,-67.265,16.658,idw_visual
18.06,-67.21,16.883,idw_visual
18.06,-67.155,17.149,idw_visual
18.06,-67.1,17.377,idw_visual
18.06,-67.045,17.46,idw_visual
18.06,-66.99,17.469,idw_visual
18.06,-66.935,17.709,idw_visual
18.06,-66.88,18.357,idw_visual
18.06,-66.825,19.211,idw_visual
18.06,-66.77,19.608,idw_visual
18.06,-66.715,18.083,idw_visual
18.06,-66.66,14.12,idw_visual
18.06,-66.605,12.119,idw_visual
18.06,-66.55,11.875,idw_visual
18.06,-66.495,11.479,idw_visual
18.06,-66.44,12.056,idw_visual
18.06,-66.385,12.703,idw_visual
