generated_at_utc,layer,hours,municipality,municipality_display,lat,lon,rain_in,rain_rate_in_hr,reflectivity_est_dbz,risk_score,screen_reader_label
2026-07-02T12:31:01+00:00,Radar 1h,1,Juana Diaz,Juana Díaz,18.053,-66.506,0.123,0.123,33.2,11.4,"Radar 1h: Juana Díaz con lluvia estimada de 0.12 pulgadas, intensidad 0.12 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 3h,3,Juana Diaz,Juana Díaz,18.053,-66.506,0.261,0.087,31.2,11.4,"Radar 3h: Juana Díaz con lluvia estimada de 0.26 pulgadas, intensidad 0.09 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 6h,6,Juana Diaz,Juana Díaz,18.053,-66.506,0.445,0.074,30.2,11.4,"Radar 6h: Juana Díaz con lluvia estimada de 0.45 pulgadas, intensidad 0.07 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 24h,24,Juana Diaz,Juana Díaz,18.053,-66.506,0.767,0.032,25.1,11.4,"Radar 24h: Juana Díaz con lluvia estimada de 0.77 pulgadas, intensidad 0.03 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 1h,1,Ponce,Ponce,18.011,-66.614,0.113,0.113,32.7,10.8,"Radar 1h: Ponce con lluvia estimada de 0.11 pulgadas, intensidad 0.11 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 3h,3,Ponce,Ponce,18.011,-66.614,0.24,0.08,30.6,10.8,"Radar 3h: Ponce con lluvia estimada de 0.24 pulgadas, intensidad 0.08 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 6h,6,Ponce,Ponce,18.011,-66.614,0.409,0.068,29.7,10.8,"Radar 6h: Ponce con lluvia estimada de 0.41 pulgadas, intensidad 0.07 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 24h,24,Ponce,Ponce,18.011,-66.614,0.705,0.029,24.6,10.8,"Radar 24h: Ponce con lluvia estimada de 0.71 pulgadas, intensidad 0.03 pulgadas por hora y riesgo 11 de 100."
2026-07-02T12:31:01+00:00,Radar 1h,1,San German,San Germán,18.082,-67.044,0.21,0.21,36.5,17.5,"Radar 1h: San Germán con lluvia estimada de 0.21 pulgadas, intensidad 0.21 pulgadas por hora y riesgo 17 de 100."
2026-07-02T12:31:01+00:00,Radar 3h,3,San German,San Germán,18.082,-67.044,0.447,0.149,34.4,17.5,"Radar 3h: San Germán con lluvia estimada de 0.45 pulgadas, intensidad 0.15 pulgadas por hora y riesgo 17 de 100."
