generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label,temperature_f,feels_like_f,heat_risk_level,temperature_plain_text,temperature_frame_f
2026-07-03T21:41:18+00:00,0,0,+00 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.017,0.49,10.8,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 0.017 pulgadas por hora, viento 10.8 mph, temperatura 83.9 °F, sensación 89.1 °F.",83.9,89.1,bajo,"Juana Díaz: temperatura 83.9 °F, sensación térmica 89.1 °F, humedad 66 %, riesgo de calor bajo. Monitoreo normal.",83.9
2026-07-03T21:41:18+00:00,0,0,+00 min,Ponce,Ponce,south_coast,18.011,-66.614,0.015,0.43,11.0,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 0.015 pulgadas por hora, viento 11.0 mph, temperatura 85.5 °F, sensación 91.3 °F.",85.5,91.3,vigilancia,"Ponce: temperatura 85.5 °F, sensación térmica 91.3 °F, humedad 63 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",85.5
2026-07-03T21:41:18+00:00,0,0,+00 min,San German,San Germán,west,18.082,-67.044,0.026,0.74,9.9,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 0.026 pulgadas por hora, viento 9.9 mph, temperatura 82.8 °F, sensación 90.9 °F.",82.8,90.9,vigilancia,"San Germán: temperatura 82.8 °F, sensación térmica 90.9 °F, humedad 80 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.8
2026-07-03T21:41:18+00:00,0,0,+00 min,San Juan,San Juan,north_coast,18.465,-66.105,0.025,0.69,13.7,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 0.025 pulgadas por hora, viento 13.7 mph, temperatura 82.5 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"San Juan: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.5
2026-07-03T21:41:18+00:00,0,0,+00 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.025,0.69,5.6,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 0.025 pulgadas por hora, viento 5.6 mph, temperatura 76.3 °F, sensación 76.3 °F.",76.3,76.3,bajo,"Adjuntas: temperatura 76.3 °F, sensación térmica 76.3 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",76.3
2026-07-03T21:41:18+00:00,0,0,+00 min,Aguada,Aguada,west,18.379,-67.188,0.028,0.79,7.1,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 0.028 pulgadas por hora, viento 7.1 mph, temperatura 82.3 °F, sensación 90.1 °F.",82.3,90.1,vigilancia,"Aguada: temperatura 82.3 °F, sensación térmica 90.1 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.3
2026-07-03T21:41:18+00:00,0,0,+00 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.027,0.76,8.3,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 0.027 pulgadas por hora, viento 8.3 mph, temperatura 82.9 °F, sensación 90.0 °F.",82.9,90.0,vigilancia,"Aguadilla: temperatura 82.9 °F, sensación térmica 90.0 °F, humedad 76 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.9
2026-07-03T21:41:18+00:00,0,0,+00 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.025,0.7,9.5,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 0.025 pulgadas por hora, viento 9.5 mph, temperatura 80.0 °F, sensación 84.3 °F.",80.0,84.3,bajo,"Aguas Buenas: temperatura 80.0 °F, sensación térmica 84.3 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",80.0
2026-07-03T21:41:18+00:00,0,0,+00 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.025,0.71,9.6,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 0.025 pulgadas por hora, viento 9.6 mph, temperatura 75.9 °F, sensación 75.9 °F.",75.9,75.9,bajo,"Aibonito: temperatura 75.9 °F, sensación térmica 75.9 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",75.9
2026-07-03T21:41:18+00:00,0,0,+00 min,Anasco,Anasco,west,18.282,-67.14,0.027,0.76,4.8,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 0.027 pulgadas por hora, viento 4.8 mph, temperatura 82.2 °F, sensación 90.1 °F.",82.2,90.1,vigilancia,"Anasco: temperatura 82.2 °F, sensación térmica 90.1 °F, humedad 83 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.2
2026-07-03T21:41:18+00:00,0,0,+00 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.021,0.6,13.8,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 0.021 pulgadas por hora, viento 13.8 mph, temperatura 82.5 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"Arecibo: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.5
2026-07-03T21:41:18+00:00,0,0,+00 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.028,0.79,12.7,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 0.028 pulgadas por hora, viento 12.7 mph, temperatura 82.5 °F, sensación 88.6 °F.",82.5,88.6,bajo,"Arroyo: temperatura 82.5 °F, sensación térmica 88.6 °F, humedad 75 %, riesgo de calor bajo. Monitoreo normal.",82.5
2026-07-03T21:41:18+00:00,0,0,+00 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.02,0.57,13.0,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 0.020 pulgadas por hora, viento 13.0 mph, temperatura 82.2 °F, sensación 89.7 °F.",82.2,89.7,bajo,"Barceloneta: temperatura 82.2 °F, sensación térmica 89.7 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",82.2
2026-07-03T21:41:18+00:00,0,0,+00 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.025,0.7,8.5,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 0.025 pulgadas por hora, viento 8.5 mph, temperatura 76.0 °F, sensación 76.0 °F.",76.0,76.0,bajo,"Barranquitas: temperatura 76.0 °F, sensación térmica 76.0 °F, humedad 86 %, riesgo de calor bajo. Monitoreo normal.",76.0
