generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label
2026-07-03T21:41:18+00:00,0,0,+00 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.017,0.49,10.8,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 24h 0.49 pulgadas, riesgo 8 de 100, viento 10.4 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Ponce,Ponce,south_coast,18.011,-66.614,0.015,0.43,11.0,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 24h 0.43 pulgadas, riesgo 6 de 100, viento 10.6 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,San German,San Germán,west,18.082,-67.044,0.026,0.74,9.9,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 24h 0.74 pulgadas, riesgo 9 de 100, viento 9.5 mph desde ESE."
2026-07-03T21:41:18+00:00,0,0,+00 min,San Juan,San Juan,north_coast,18.465,-66.105,0.025,0.69,13.7,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 24h 0.69 pulgadas, riesgo 9 de 100, viento 13.2 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.025,0.69,5.6,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 24h 0.69 pulgadas, riesgo 25 de 100, viento 5.4 mph desde ESE."
2026-07-03T21:41:18+00:00,0,0,+00 min,Aguada,Aguada,west,18.379,-67.188,0.028,0.79,7.1,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 24h 0.79 pulgadas, riesgo 31 de 100, viento 6.8 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.027,0.76,8.3,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 24h 0.76 pulgadas, riesgo 23 de 100, viento 8.0 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.025,0.7,9.5,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 24h 0.70 pulgadas, riesgo 11 de 100, viento 9.1 mph desde ESE."
2026-07-03T21:41:18+00:00,0,0,+00 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.025,0.71,9.6,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 24h 0.71 pulgadas, riesgo 14 de 100, viento 9.2 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Anasco,Anasco,west,18.282,-67.14,0.027,0.76,4.8,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 24h 0.76 pulgadas, riesgo 24 de 100, viento 4.6 mph desde ESE."
2026-07-03T21:41:18+00:00,0,0,+00 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.021,0.6,13.8,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 24h 0.60 pulgadas, riesgo 10 de 100, viento 13.3 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.028,0.79,12.7,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 24h 0.79 pulgadas, riesgo 11 de 100, viento 12.2 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.02,0.57,13.0,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 24h 0.57 pulgadas, riesgo 12 de 100, viento 12.5 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.025,0.7,8.5,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 24h 0.70 pulgadas, riesgo 10 de 100, viento 8.2 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.02,0.58,12.0,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 24h 0.58 pulgadas, riesgo 7 de 100, viento 11.5 mph desde E."
2026-07-03T21:41:18+00:00,0,0,+00 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.025,0.73,10.1,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 24h 0.73 pulgadas, riesgo 9 de 100, viento 9.7 mph desde E."
